system,analyte,f_mean,tau_ps_mean,f_rep1,f_rep2,f_rep3,tau_ps_rep1,tau_ps_rep2,tau_ps_rep3
17alpha-Ethinylestradiol,10.0,0.7525195366835469,,0.6656327340429139,0.5757655011867019,,,,
17alpha-Ethinylestradiol,3.0765483818090416,1.0,,0.9918644353586528,0.9993418064008662,,,,
17alpha-Ethinylestradiol,6.068079577341618,0.7876693933139339,,1.0,0.9979184372864117,,,,
17alpha-Ethinylestradiol,3.8774889808883097,0.8641802068442838,,1.0,0.5777225720592836,,,,
17alpha-Ethinylestradiol,9.876415310203056,0.9329617331346277,,0.8235802649079439,1.0,,,,
17alpha-Ethinylestradiol,3.93489623513777,1.0,,0.9937216956110331,1.0,,,,
17alpha-Ethinylestradiol,1.908983257860548,0.6060767403327608,,0.5401889262603486,0.27125572416180005,,,,
17alpha-Ethinylestradiol,1.0650788671150573,0.3440289901971165,,0.6598105554692375,0.1652429134036443,,,,
17alpha-Ethinylestradiol,9.030271806630713,0.9516573848421833,,0.9988998849626325,0.8501671087019481,,,,
17alpha-Ethinylestradiol,1.0947149696855738,0.8754092731054569,,0.9927170808628248,0.9180171474440169,,,,
1_1-Dichloroethylene,10.0,0.9144003684994646,,1.0,0.6586352296587663,,,,
1_1-Dichloroethylene,10.0,0.6773803508371605,,0.9937933448602039,1.0,,,,
1_1-Dichloroethylene,2.103378843231566,0.7629986997257503,,0.44263807836765884,0.8807692570349497,,,,
1_1-Dichloroethylene,6.040475671948495,0.01458780640380342,,0.0,0.02689348210228599,,,,
1_1-Dichloroethylene,8.005868153761364,1.0,,0.9917864288074328,0.9946843325944507,,,,
1_1-Dichloroethylene,3.1275683279800814,1.0,,1.0,0.9969156249027397,,,,
1_1-Dichloroethylene,8.009924956984321,1.0,,1.0,1.0,,,,
1_1-Dichloroethylene,2.9737754449374556,0.013213098062624702,,0.00690021990349167,0.021731134778473382,,,,
1_1-Dichloroethylene,1.9278060770483774,0.7312466647385608,,0.23934160332226218,1.0,,,,
1_1-Dichloroethylene,1.0605786068739629,0.9068898491588627,,1.0,0.884353084123426,,,,
1_1_1-Trichloroethane,7.106594715018218,0.3554438264498181,,0.377392420145449,0.13119718290520083,,,,
1_1_1-Trichloroethane,4.995640962550102,0.8900325031800572,,0.9813610287418043,0.6829901965974512,,,,
1_1_1-Trichloroethane,6.112701048557837,0.6742017673540683,,0.020908521671136666,0.9821483067150284,,,,
1_1_1-Trichloroethane,7.830246878513265,0.9950481670831209,,0.9919012263485627,0.9935853717457839,,,,
1_1_1-Trichloroethane,3.99522166921681,0.5738090622215479,,0.28978585556046604,0.8873951434856586,,,,
1_1_1-Trichloroethane,1.0,0.7527008733834565,,0.2960780018845271,1.0,,,,
1_1_1-Trichloroethane,1.937356029260381,0.8810844062842942,,1.0,0.9910856021874062,,,,
1_1_1-Trichloroethane,1.2054135860999207,0.07581074577896244,,0.11472090925852357,0.0,,,,
1_1_1-Trichloroethane,5.994296284121702,0.8931877200478602,,1.0,0.9932779902646675,,,,
1_1_1-Trichloroethane,1.9648664755939558,0.9298457359502208,,1.0,1.0,,,,
1_1_2-Trichloroethane,7.00223711480583,0.6725897862785746,,0.07889827728198658,1.0,,,,
1_1_2-Trichloroethane,7.82742066514537,1.0,,0.9812103066750141,1.0,,,,
1_1_2-Trichloroethane,8.93452336649642,0.6685846209199952,,0.02212169193931552,1.0,,,,
1_1_2-Trichloroethane,1.084724254015889,0.9754434952030052,,0.9788384552454411,1.0,,,,
1_1_2-Trichloroethane,8.945804760110093,0.7679207064055968,,0.2903101930875085,0.9897010179111817,,,,
1_1_2-Trichloroethane,4.928577120517017,0.5429839752340838,,0.8559863003679339,0.8107632254942817,,,,
1_1_2-Trichloroethane,6.112839780843069,0.860702792606355,,0.6558216268461315,0.9957417954461478,,,,
1_1_2-Trichloroethane,2.115487630528491,0.548423253162171,,0.4378022039794933,0.7623959704156337,,,,
1_1_2-Trichloroethane,3.0445482623248945,0.7297984064088103,,0.4534095413118894,0.9951813315178539,,,,
1_1_2-Trichloroethane,9.960783249446342,0.7472461101007705,,0.2498756684734406,0.9855316688888909,,,,
1_1_2_2-Tetrachloroethane,1.9793651519660913,0.6261913295572891,,0.7865517858474984,0.4466273833424269,,,,
1_1_2_2-Tetrachloroethane,3.9307076525278224,0.9871064722031141,,1.0,0.9973067793834297,,,,
1_1_2_2-Tetrachloroethane,8.914281952479719,0.8516306439981209,,0.9904444056898792,1.0,,,,
1_1_2_2-Tetrachloroethane,2.9100042608075243,0.34315303567953703,,0.17764129147492416,0.5225162155499065,,,,
1_1_2_2-Tetrachloroethane,6.9467432161188025,0.2827821677179932,,0.08368186432138254,0.1453563904769163,,,,
1_1_2_2-Tetrachloroethane,8.910839706709854,0.3115371404988221,,0.005515617091892881,0.0,,,,
1_1_2_2-Tetrachloroethane,7.86525796978725,0.36097471438272527,,1.0,0.03642126724811144,,,,
1_1_2_2-Tetrachloroethane,9.018905585718285,0.9995320777973651,,0.9907864578986982,1.0,,,,
1_1_2_2-Tetrachloroethane,7.02021473516565,0.9402460207118231,,0.8605549727227597,0.9935957397060649,,,,
1_1_2_2-Tetrachloroethane,5.146554658243545,0.46632223770163095,,0.17483419232421304,0.25459923471262136,,,,
1_2-Dibromo-3-chloropropane,3.9424103256085212,0.1531418246882814,,0.2246677182389088,0.1314883896546287,,,,
1_2-Dibromo-3-chloropropane,1.025514525801516,0.9081161748276929,,0.8819308555240929,0.8530656971764051,,,,
1_2-Dibromo-3-chloropropane,9.026945955030069,0.06869752117585493,,0.0,0.1459865877460629,,,,
1_2-Dibromo-3-chloropropane,8.978127213421049,0.3628619891066836,,0.8016296293749187,0.016027140263023407,,,,
1_2-Dibromo-3-chloropropane,5.064138063957425,0.9896800525704051,,0.9897629522776534,1.0,,,,
1_2-Dibromo-3-chloropropane,5.06680028943933,1.0,,1.0,0.9910331518081417,,,,
1_2-Dibromo-3-chloropropane,2.0282125032130085,0.7899408789129392,,0.5146210595173422,0.9928193941279302,,,,
1_2-Dibromo-3-chloropropane,5.977971925491157,1.0,,1.0,0.9995610172249778,,,,
1_2-Dibromo-3-chloropropane,4.969192188400774,0.5993626426651826,,1.0,0.21884993066632746,,,,
1_2-Dibromo-3-chloropropane,4.882142780649705,0.998745406535084,,0.9798453009323097,1.0,,,,
1_2-Dibromoethane,4.930555322491578,0.37038924231023757,,0.9660822754098937,0.13336445192142385,,,,
1_2-Dibromoethane,5.946402582184931,0.6150756043478393,,0.2411001329104126,0.6074131742743126,,,,
1_2-Dibromoethane,1.0,0.36833276648334473,,0.09891021184667165,0.0,,,,
1_2-Dibromoethane,3.037907561795262,0.9867436186826973,,1.0,1.0,,,,
1_2-Dibromoethane,3.1031115563698375,0.9996708230730774,,1.0,1.0,,,,
1_2-Dibromoethane,2.9217536770577626,0.005884213315284418,,0.004555125107399693,0.03200242573375908,,,,
1_2-Dibromoethane,9.024423706263896,0.9318260104999938,,0.9821417701337903,1.0,,,,
1_2-Dibromoethane,1.0,0.5690167270854977,,0.4114759381708419,0.9594006865542376,,,,
1_2-Dibromoethane,8.973725332300823,0.4897130079425396,,0.02962977083078614,0.4722112439849392,,,,
1_2-Dibromoethane,2.9405153772848256,0.9517156794585633,,1.0,0.9414179587377632,,,,
1_2-Dichlorobenzene,5.0518644089014755,0.332943734051134,,0.4915011269919737,0.16928004979721165,,,,
